Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
shadowfaynn,ShieldSupport_Heal,65,98879,7,10,12,6,6,,4,healer,,,,5,,,5,5,5,5,5
shadowfaynn,SpiderMan,85,255431,7,8,16,7,7,7,5,raider,purple,,,,10,,,,,,
shadowfaynn,LukeCage,80,218306,7,10,15,6,7,6,5,fortifier,blue,,10,,,,5,5,5,5,5
shadowfaynn,Punisher,100,1004924,7,9,19,7,6,7,5,striker,purple,13,,,,,3,3,3,3,3
shadowfaynn,ShieldDmg_AoE,55,53281,7,7,10,6,5,,4,raider,,,,,5,,5,5,5,5,5
shadowfaynn,Elektra,100,863953,7,8,19,6,6,6,5,striker,purple,13,,,,,3,3,3,3,3
shadowfaynn,RavagerTank_Taunt,65,80716,7,7,12,6,6,,4,striker,,5,,,,,5,5,5,5,5
shadowfaynn,MercDmg_General,55,54447,7,7,10,6,5,,4,skirmisher,,,,,,5,5,5,5,5,5
shadowfaynn,Crossbones,65,85526,7,7,12,6,6,6,4,raider,,,,,5,,5,5,5,5,5
shadowfaynn,Bullseye,60,72770,7,7,11,6,6,6,4,raider,,,,,5,,5,5,5,5,5
shadowfaynn,Wolverine,102,770841,7,9,19,7,7,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
shadowfaynn,HydraDmg_Single,60,65281,7,7,11,6,6,,4,skirmisher,,,,,,5,5,5,5,5,5
shadowfaynn,ShieldSupport_Stealth,55,54906,7,7,10,6,5,,4,healer,,,,5,,,5,5,5,5,5
shadowfaynn,HandSupport_Heal,65,77669,7,7,12,6,6,,4,healer,,,,5,,,5,5,5,5,5
shadowfaynn,RavagerDmg_AoE,65,80200,7,7,12,6,6,,4,striker,,5,,,,,5,5,5,5,5
shadowfaynn,JessicaJones,75,165216,7,7,14,6,6,7,5,skirmisher,blue,3,,,,10,5,5,5,5,5
shadowfaynn,MercDmg_Single,55,53179,7,7,10,6,5,,4,striker,,5,,,,,5,5,5,5,5
shadowfaynn,HandDmg_Bonus,52,44043,7,7,9,5,5,,3,striker,,5,,,,,5,5,5,5,5
shadowfaynn,Nebula,65,101575,7,9,12,6,6,6,5,skirmisher,,,,,,5,5,5,5,5,5
shadowfaynn,Quake,80,172099,7,7,15,6,6,7,4,raider,blue,,,,10,,5,5,5,5,5
shadowfaynn,IronFist,80,183232,7,7,15,7,7,7,5,healer,blue,,,10,3,,5,5,5,5,5
shadowfaynn,KreeDmg_Speed,65,79182,7,7,12,6,6,,4,striker,,5,,,,,5,5,5,5,5
shadowfaynn,Hawkeye,80,189963,7,9,15,6,6,6,4,raider,blue,,,,10,,5,5,5,5,5
shadowfaynn,Gamora,85,244599,7,7,16,7,7,7,5,striker,purple,10,,,1,,,,,,
shadowfaynn,Yondu,61,87077,7,9,11,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
shadowfaynn,AntMan,80,193961,7,8,15,6,6,6,4,healer,blue,,,10,,,5,5,5,5,5
